subject_id,rt,key_press,stimulus_type,syntax_cat,correct
01,1766,85,Sentence,Ungrammatical,TRUE
01,1967,85,Sentence,Filler-Gram,FALSE
01,1983,85,Sentence,Ungrammatical,TRUE
01,1286,65,Sentence,Filler-Gram,TRUE
01,1774,85,Sentence,Ungrammatical,TRUE
01,1504,65,Sentence,Filler-Gram,TRUE
01,1674,65,Sentence,Grammatical,TRUE
01,1388,65,Sentence,Ungrammatical,FALSE
01,2040,65,Sentence,Filler-Gram,TRUE
01,1784,65,Sentence,Grammatical,TRUE
01,1744,65,Sentence,Ungrammatical,FALSE
01,1662,65,Sentence,Filler-Ungram,FALSE
01,399,85,Sentence,Filler-Gram,FALSE
01,6588,65,Sentence,Grammatical,TRUE
01,725,65,Sentence,Grammatical,TRUE
01,1506,85,Sentence,Ungrammatical,TRUE
01,3585,85,Sentence,Ungrammatical,TRUE
01,582,65,Sentence,Filler-Ungram,FALSE
01,1426,65,Sentence,Filler-Gram,TRUE
01,252,65,Sentence,Grammatical,TRUE
01,1700,65,Sentence,Filler-Gram,TRUE
01,1070,65,Sentence,Filler-Ungram,FALSE
01,1136,85,Sentence,Filler-Ungram,TRUE
01,1902,85,Sentence,Filler-Ungram,TRUE
01,273,65,Sentence,Grammatical,TRUE
01,2151,65,Sentence,Ungrammatical,FALSE
01,3026,65,Sentence,Grammatical,TRUE
01,5304,65,Sentence,Grammatical,TRUE
01,1288,65,Sentence,Grammatical,TRUE
01,1500,65,Sentence,Ungrammatical,FALSE
01,1978,85,Sentence,Filler-Ungram,TRUE
01,1570,65,Sentence,Filler-Gram,TRUE
01,640,65,Sentence,Grammatical,TRUE
01,2484,65,Music,In-Key,TRUE
01,2073,65,Music,Distant-Key,FALSE
01,1570,65,Music,In-Key,TRUE
01,327,85,Music,Distant-Key,TRUE
01,1725,65,Music,Distant-Key,FALSE
01,3185,65,Music,Distant-Key,FALSE
01,634,85,Music,Distant-Key,TRUE
01,4308,65,Music,In-Key,TRUE
01,1747,65,Music,In-Key,TRUE
01,1816,65,Music,In-Key,TRUE
01,1461,65,Music,Distant-Key,FALSE
01,2443,65,Music,In-Key,TRUE
01,2257,85,Music,Distant-Key,TRUE
01,2267,65,Music,In-Key,TRUE
01,1588,65,Music,In-Key,TRUE
01,1021,65,Music,Distant-Key,FALSE
01,1595,85,Music,Distant-Key,TRUE
01,1998,65,Music,Distant-Key,FALSE
01,1946,65,Music,In-Key,TRUE
01,2572,65,Music,In-Key,TRUE
01,3364,65,Music,In-Key,TRUE
01,4164,65,Music,In-Key,TRUE
01,3339,65,Music,In-Key,TRUE
01,875,65,Music,Distant-Key,FALSE
01,1449,65,Music,In-Key,TRUE
01,2356,65,Music,In-Key,TRUE
01,3621,65,Music,Distant-Key,FALSE
01,950,65,Music,Distant-Key,FALSE
